gene,class
NACAD,L6
ALPK3,L4
TM6SF1,L4
CALCOCO2,L6
RSAD1,L2
SRSF1,L6
VEZF1,L6
TEX2,L6
ACTL6A,L6
TBR1,L5
ERMN,L6
TANK,L6
KCTD3,L6
RASSF5,L5
BIN1,L6
HS6ST1,L2
GYPC,L1
ABI1,L2
DNAJC1,L6
NIPSNAP3A,L6
C9orf78,L6
FAM129B,L2
ST6GALNAC4,L1
DAB2IP,L2
ANGPTL2,L6
CDK5RAP2,L6
ZFP37,L6
SLC31A2,L6
ZNF189,L6
USP20,L4
ANP32B,L6
PDCL,L6
RPL35,L1
CTSL2,L6
ENPP2,L6
NOV,L4
IL11RA,L1
UBAP2,L4
GRHPR,L6
KIF13A,L6
FTSJD2,L2
TMEM63B,L3
TJAP1,L6
HCRTR2,L6
KIAA0319,L4
LRRC1,L6
CPEB2,L6
FHDC1,L3
MYO7A,L4
FCHSD2,L6
IL18BP,L1
CCDC90B,L6
SYTL2,L6
RAB30,L6
SULF1,L6
SORL1,L4
RDX,L6
PPP2R1B,L6
CASP1,L1
SQRDL,L1
SLTM,L6
THBS1,L2
HAUS2,L6
RPLP1,L1
ITPKA,L2
SMAD6,L1
PAK6,L2
ADAM10,L6
TTLL7,L6
RABGGTB,L6
IFI44,L1
CLCA2,L6
DBT,L6
PPM1B,L6
PNPT1,L6
CYP1B1,L1
ATRAID,L1
TRIM54,L4
DTNB,L2
BTBD16,L6
DUSP5,L1
FAM149B1,L6
ASCC1,L6
ADAMTS14,L6
RPS24,L1
BARD1,L6
STAT4,L3
ALS2CR8,L6
NAB1,L6
IDH1,L6
SSFA2,L6
CHRNA1,L4
ITGAV,L6
SLC35A5,L6
DIRC2,L6
MNS1,L6
SECISBP2L,L6
APH1B,L6
HCN4,L3
HERC6,L4
PCDH10,L5
PRKG2,L2
RASGEF1B,L3
NUP54,L6
SCARB2,L6
ANXA3,L1
GSTCD,L6
CASP6,L1
PAPSS1,L6
CPNE8,L2
FGD4,L6
ZCRB1,L6
TMEM117,L6
C1RL,L4
VAMP1,L4
AMIGO2,L4
RPL14P1,L1
LRIG3,L6
LGR5,L6
POC1B,L6
LUM,L1
NEDD1,L6
SLC15A4,L6
GLTP,L6
FAM222A,L6
SLC7A1,L3
LNX2,L4
ACVRL1,L1
GALNT6,L6
ESYT1,L3
WDFY2,L6
LPAR6,L1
DENR,L5
SLAIN1,L6
METTL21C,L4
MBNL2,L6
RAB20,L1
SSTR1,L2
CDH24,L6
REM2,L4
TMX1,L6
PELI2,L6
WDR89,L6
KCNH5,L3
EFCAB11,L6
JDP2,L3
FAM181A,L2
SLC24A4,L2
FBLN5,L1
C14orf79,L2
WDR20,L6
DUOXA1,L6
TCF12,L6
SERF2,L1
SLC27A2,L2
BNIP2,L6
BAHD1,L2
ANP32A,L6
PCSK6,L6
SCAMP2,L6
NTRK3,L2
MFGE8,L3
CRTC3,L6
SH3GL3,L6
SEC11A,L6
TGFB1I1,L1
CDR2,L2
NKD1,L6
ZFHX3,L6
CPNE2,L6
CMTM3,L1
CDH11,L6
NOL3,L6
ZSCAN32,L6
RPS2,L1
MED9,L2
PRPSAP2,L6
RHBDL3,L4
ABCA8,L6
CLTC,L4
SS18,L6
TAF4B,L4
GNAL,L2
SLC39A6,L6
ESCO1,L6
NPC1,L6
SLC14A1,L6
ZMYND15,L1
MINK1,L2
TMC6,L6
TTYH2,L6
MAPK4,L2
SMAD4,L6
CBLN2,L2
PNMT,L2
STAC2,L4
IGFBP4,L1
CACNA1A,L3
PPAP2C,L6
MVB12A,L1
SH3GL1,L2
SIRT3,L2
IFITM3,L1
HUNK,L4
SCYL1,L3
EMP3,L1
WTIP,L1
ZNF787,L2
CARM1,L3
SLC47A1,L4
RPS11,L1
RPL13A,L1
IGLON5,L4
RCN3,L4
ZNF614,L6
SLC2A5,L1
EFHD2,L5
RPL11,L1
EVA1B,L1
CYR61,L1
PIGK,L6
TINAGL1,L1
RPS8,L1
CD53,L1
GPR161,L4
POGK,L6
MPC2,L2
CREG1,L6
UCK2,L3
POU2F1,L6
PIGM,L6
CRABP2,L1
RGS16,L2
TOR1AIP1,L6
LYPLAL1,L6
ECM1,L4
TARS2,L4
CGN,L6
PIP5K1A,L2
FAM63A,L6
ANXA9,L6
CERS2,L6
GABPB2,L6
KCNH1,L3
DUSP10,L6
S100A8,L1
HCN3,L4
C1orf131,L6
GALNT2,L2
SCCPDH,L6
NVL,L6
SDE2,L6
DEGS1,L6
ITPKB,L6
MBOAT2,L6
PARP1,L6
PSEN2,L3
LBR,L6
PPFIA4,L3
SYT2,L4
ARL8A,L6
RPS27A,L1
VPS54,L6
ASXL2,L6
ETAA1,L6
MEIS1,L6
EXOC6B,L6
TEX261,L6
C1QL2,L2
SLC20A1,L4
UBXN4,L6
SPOPL,L6
GPR17,L6
PKP4,L6
SCN1A,L3
SCRN3,L6
TMEFF2,L6
DLX1,L2
GULP1,L2
PTH2R,L2
SPAG16,L6
NYAP2,L4
RHBDD1,L6
CPNE9,L4
RAB5A,L6
GMPPA,L4
GRIP2,L2
DYNC1LI1,L4
ITGA9,L2
GOLGA4,L6
IQSEC1,L5
RPL32,L1
IL17RD,L6
UBA3,L6
NXPE3,L6
IGSF11,L6
ATG3,L6
TMEM108,L2
MED12L,L3
EIF2B5,L3
ECE2,L2
LYAR,L6
CENPC1,L6
SCD5,L6
ENOPH1,L6
SNCA,L5
CAMK2D,L4
METTL14,L6
1-Mar,L6
RPS3A,L1
GLRA3,L2
CYP4V2,L6
ROPN1L,L4
NKD2,L5
CDH18,L3
ADAMTS16,L2
MYO10,L6
RPL37,L1
CRHBP,L6
PPIP5K2,L4
ATG12,L6
MEGF10,L6
CXCL14,L1
TNIP1,L3
G3BP1,L6
ZNF300,L6
RMND5B,L2
TENM2,L3
KCNMB1,L1
TRIM41,L6
DAAM2,L6
HMGCLL1,L5
TPBG,L3
RARS2,L6
GPR6,L3
RNF217,L6
RSPO3,L5
ARHGAP18,L1
SLC2A12,L6
VIP,L2
SLC22A3,L1
SDK1,L2
RBAK,L6
CREB5,L6
IGFBP3,L1
AC004453.8,L1
ZNF92,L6
TMEM168,L6
C7orf43,L4
SLC12A9,L6
TMEM209,L6
TMEM140,L6
SHROOM2,L3
C7orf55-LUC7L2,L6
DENND2A,L6
SYTL5,L2
KDM6A,L6
SLC16A2,L2
CHST7,L1
SNX12,L3
DIAPH2,L2
PRPS1,L5
HTR2C,L5
IGSF1,L1
RBMX,L6
CETN2,L1
RPL10,L1
ATP6V1B2,L4
DOCK5,L6
STAR,L3
SNTG1,L4
ST18,L6
GOLGA7,L6
PMP2,L6
LACTB2,L6
RPL7,L1
MTDH,L6
UTP23,L6
TATDN1,L6
HAUS6,L6
C9orf72,L4
ZCCHC7,L6
FBXO10,L3
CEP78,L6
HIATL1,L6
C9orf3,L6
LPPR1,L6
ZNF462,L6
GSN,L6
CRB2,L6
ALAD,L6
FAM73B,L3
PTGES,L2
LRSAM1,L4
GPR107,L6
INPP5E,L4
FAM13C,L6
CAMK2G,L5
TCF7L2,L4
INA,L3
FUOM,L1
PAOX,L6
RGS10,L1
PGAP2,L6
APIP,L6
TNKS1BP1,L2
SERPING1,L1
ENDOD1,L6
CCDC82,L6
TENM4,L5
SERPINH1,L1
CAPN5,L3
INTS4,L6
RPS3,L1
ZC3H12C,L6
NCAM1,L6
HTR3B,L2
ATM,L6
DAK,L6
MTA2,L6
FADS1,L6
PLCH2,L3
FEZ1,L6
ESAM,L1
KIRREL3,L2
TMEM25,L3
TAGLN,L1
KIAA1755,L6
SOGA1,L6
FERMT3,L1
CDC42EP2,L6
FAU,L1
TMEM219,L1
ITGB1,L6
FXYD4,L6
KLHL1,L5
FAM124A,L6
LYPD6B,L1
CCDC102B,L6
CNDP1,L6
PRSS23,L1
DOCK1,L6
DIXDC1,L6
IL18,L1
PIP4K2A,L6
CRIM1,L5
UEVLD,L6
BTBD11,L2
IPMK,L6
PLBD2,L4
GXYLT1,L6
TWF1,L6
SRFBP1,L6
NPAS3,L6
FAM177A1,L6
NEK7,L6
FER,L6
PTPRO,L2
QDPR,L6
ANO4,L6
AKR1C2,L5
INPP1,L6
MFSD6,L6
RNF144A,L6
ACSL1,L6
SAV1,L6
GFRA1,L5
DST,L6
LIX1L,L6
TMEM163,L3
GPATCH11,L6
TMEM178A,L5
GRID2,L6
KCNK13,L2
UHMK1,L5
POC5,L6
CWF19L2,L6
XRCC4,L6
TMEM123,L6
SLC30A6,L6
RASGRP3,L6
SAR1B,L6
PRDM8,L3
HHEX,L1
PTPRK,L3
CNTNAP4,L6
PLOD2,L6
NRSN1,L4
ZIC1,L1
SREK1IP1,L6
CWC27,L6
CARHSP1,L6
TXNDC11,L2
CETN3,L6
SMARCA5,L6
HNRNPU,L6
FEZF2,L5
TEX29,L3
ADPRHL1,L3
CMTM7,L1
CNKSR3,L6
SPHKAP,L4
KCNJ16,L2
PID1,L5
KCTD15,L2
ZNF599,L6
CHD1,L6
SEMA3D,L6
ANKRD29,L4
CHST9,L6
TBCEL,L6
FAM134B,L6
CC2D1B,L6
PRKCA,L2
LRRK1,L4
PGM5,L1
OBSCN,L2
BUB3,L6
GPR26,L2
C10orf90,L6
FAM69A,L6
PDLIM3,L1
LY96,L1
CXADR,L6
C21orf91,L6
CHODL,L6
PDE1C,L6
GABPA,L6
XPC,L6
FLCN,L2
PIEZO2,L6
USP43,L3
ANKRD40,L6
OTUD6B,L6
CDK19,L6
AGPAT5,L6
MARVELD1,L1
GRAMD3,L6
RHOC,L1
PPM1J,L3
SLC16A1,L6
MKI67IP,L6
SETD9,L6
ZKSCAN2,L6
C9orf85,L6
VSIG4,L1
PDIA4,L6
KCTD18,L6
DEPTOR,L6
SLC26A2,L6
LSM11,L4
ACPL2,L2
SLA,L6
VBP1,L6
GRIP1,L5
TMEM185A,L3
ADAMTS3,L2
DPY19L4,L6
ART3,L2
USP16,L6
TIAM1,L3
SFR1,L6
RPL30,L1
EEF1A1,L1
PHF6,L6
SAMD8,L6
RAB11FIP1,L2
UNC5D,L3
HIAT1,L6
SASS6,L6
FCHO2,L6
RBPMS,L1
TMEM171,L6
TIMP4,L1
NRG1,L5
C1orf27,L6
CPT2,L6
STEAP2,L3
SSBP3,L4
HTR5A,L3
MMP14,L1
SUSD3,L1
ARSE,L1
MYO1E,L6
TSPAN18,L6
SLC35B2,L6
TMEM164,L2
C2CD2,L3
SNX22,L6
UBN2,L6
FMNL2,L6
RPS4Y2,L1
DPYSL5,L6
RAB28,L6
FAM213B,L2
TNFRSF14,L2
C12orf43,L3
SKI,L2
LDLRAP1,L6
AGAP1,L6
PAFAH2,L6
PTPDC1,L6
GALNT14,L5
RHPN1,L2
XKR8,L6
MRAS,L2
WASF2,L6
FAIM,L6
CLSTN2,L5
GPR153,L3
SLC13A3,L6
RHBDL2,L6
SHROOM4,L6
MITD1,L6
EIF5B,L6
SPATA2,L3
GDPD5,L5
AGPAT6,L3
TAGLN2,L1
ELK4,L6
SLC45A3,L6
HTR6,L3
F11R,L1
ZNF276,L6
FGF17,L2
ADAMTS4,L6
FAM160B2,L3
SLC5A11,L6
FCER1G,L1
RAPGEF6,L6
ALG8,L6
PAXBP1,L6
SV2A,L4
CSRP1,L6
C1QC,L1
RCAN1,L6
CBR1,L6
ACTC1,L3
CHAF1B,L3
SCUBE1,L6
ADPGK,L3
ATP13A2,L4
BTG2,L1
THEM4,L2
MED8,L2
GPBP1L1,L6
EFCAB14,L6
SPON2,L2
TPPP3,L6
RGS12,L2
PSKH1,L6
ZYX,L4
LYPD5,L3
ZNF235,L6
DFFA,L6
ABCG1,L6
SLC37A1,L2
PKNOX1,L6
TRAPPC10,L6
ICOSLG,L6
ITGB2,L1
RALGDS,L6
LSS,L6
DIP2A,L6
SLC2A6,L4
HIPK4,L2
PKN3,L1
TAOK1,L6
VPS11,L3
CHRNB2,L3
CRTC2,L6
ANO10,L3
FAM189B,L3
PAQR6,L6
LMNA,L6
UBQLN4,L2
AZGP1,L6
IER2,L1
TONSL,L3
LRRC14,L3
RPL8,L1
ABCF3,L3
DUSP14,L2
CYGB,L2
ZNF577,L6
ITGA5,L1
MPP3,L3
SPC24,L2
IP6K3,L6
CXCL16,L1
FGF11,L6
RPL26,L1
PAQR4,L6
SYVN1,L6
TAL1,L1
BEND5,L4
ELAVL4,L4
JAK1,L3
LZIC,L6
RBP7,L6
KNCN,L2
FBLIM1,L1
DRAXIN,L2
DHRS3,L1
LAPTM5,L1
SDC3,L2
UBXN10,L3
CAMK2N1,L2
MXRA8,L1
DIRAS3,L6
NFIA,L6
TM2D1,L6
USP1,L6
LRRC53,L2
B3GALT2,L6
NTNG1,L3
FAM102B,L5
ZNF326,L6
ARPC5,L6
CADM3,L3
TRIM58,L3
NCSTN,L6
VANGL2,L6
OLFML2B,L6
BPNT1,L6
C1orf115,L2
BROX,L6
KIF26B,L2
PPP1R21,L3
KLHDC8A,L4
HAAO,L1
MAPKAPK2,L6
C1orf145,L2
PUS10,L6
TRIM17,L2
RFTN2,L6
DISC1,L6
LRRTM1,L2
TYW5,L6
PQLC3,L6
NEUROD1,L2
FRZB,L1
ACTG2,L1
H3F3A,L6
SGCB,L6
PCDP1,L3
SGPP2,L3
HPGDS,L1
OTUD7B,L6
CTSS,L1
MSX1,L1
TNFAIP8L2,L1
IWS1,L6
CDC42EP3,L2
S100A11,L1
ARHGAP25,L5
S100A9,L1
TGFA,L6
FZD5,L6
NPPC,L4
CLDN1,L6
POGLUT1,L6
SLC22A15,L6
ATP1A1,L3
LRRC58,L6
LMOD1,L1
TMEM79,L6
CWC22,L6
HDAC11,L6
FBLN2,L1
STT3B,L6
NFASC,L6
MNDA,L1
RPL22L1,L1
RYBP,L6
PPP4R2,L6
GTPBP8,L6
C3orf17,L6
CDS1,L4
WDFY3,L6
PTPN13,L6
TIPARP,L6
DCLK3,L2
SMIM14,L6
ABHD6,L6
APBB2,L6
CRELD1,L3
PCOLCE2,L6
MTHFD2L,L6
RCHY1,L4
SNRK,L4
KIAA1143,L6
CLEC3B,L1
FYCO1,L6
CCR1,L1
NMNAT3,L5
PRKCD,L2
FAM208A,L6
UBXN7,L6
ABLIM2,L2
AIMP1,L6
SGMS2,L6
SLC9B2,L4
PLXNB1,L6
SPRY1,L2
MFSD8,L6
C4orf29,L6
AGXT2L1,L6
C4orf3,L6
PRSS12,L3
NDST3,L2
TMEM155,L5
CEP44,L6
TMEM144,L6
NAA15,L6
ARFIP1,L6
HHIP,L6
ABCE1,L6
ITGA2,L6
EDIL3,L6
NIPBL,L6
CCDC112,L6
WDR41,L5
RHOBTB3,L6
GPX8,L1
SERINC5,L6
ENPP6,L6
CASP3,L6
ERAP1,L6
CMYA5,L2
EGFLAM,L1
KIAA1430,L6
CARTPT,L2
RICTOR,L6
PAPD4,L6
ANKRA2,L6
TLR3,L1
FOXQ1,L1
8-Sep,L6
SHROOM1,L6
FABP7,L1
CITED2,L3
DCBLD1,L3
TMEM200A,L2
PI16,L1
TRA2A,L6
GALNT10,L6
RPS14,L1
NEUROD6,L4
BMPER,L5
KIF6,L6
SLC29A4,L2
CDCA7L,L6
KIAA1324L,L6
USP49,L6
ZNF704,L6
COL1A2,L1
BRI3,L1
SOX17,L1
DLC1,L6
PEX2,L6
RAD21,L6
MED30,L6
SUN1,L2
NOS3,L1
SLC4A2,L6
ALDH7A1,L6
DCAF13,L6
TP53INP1,L6
KIAA1429,L6
FREM1,L1
KIAA0196,L6
TMEM65,L2
DIRAS2,L5
SYK,L1
ZMAT4,L4
HNRNPK,L6
ANKS6,L6
FBP1,L1
CYBB,L1
MID1IP1,L6
KIAA1958,L6
PIGA,L6
ATP7A,L6
TRMT10B,L6
PIGO,L6
FAT3,L3
LRFN5,L3
SPTSSA,L6
WRN,L6
8-Mar,L6
CFL2,L6
SUGT1,L6
ZCCHC24,L6
FOLR2,L1
GJB2,L1
REEP3,L6
HEPACAM,L6
MICU2,L6
PCF11,L6
PKNOX2,L3
RPL10L,L1
C10orf10,L1
ZNF22,L6
NEMF,L6
TTC8,L2
TMEM63C,L3
NGB,L3
AMER2,L6
SLC18A2,L6
PDZD8,L6
DACH1,L5
ENOX2,L6
DDX21,L6
NSMF,L1
C10orf82,L5
OTOGL,L4
PACSIN3,L6
TTC7B,L4
CPSF2,L6
IFI27,L1
CLMN,L6
PDZRN4,L5
SMCO4,L1
KCNC2,L4
ABTB2,L6
R3HCC1L,L6
HTRA1,L6
TCP11L2,L6
JAM3,L6
CMTM5,L6
RAB8B,L6
BRD7,L6
LARP6,L6
COPS2,L6
SGPL1,L6
FRS2,L6
PLEKHF1,L6
USP54,L6
C11orf74,L5
ATP9B,L2
PPFIBP2,L6
CYB5R2,L6
KIAA0355,L6
IDH3A,L4
CRABP1,L1
TRIM66,L4
RPL27A,L1
AKIP1,L1
TMEM41B,L6
MFAP4,L1
NDST2,L3
MCM7,L6
CCDC68,L4
ZNF3,L6
BEAN1,L3
HSP90B1,L6
COG1,L5
B2M,L1
NNMT,L4
KIAA0430,L4
FAM96A,L6
TMEM170A,L6
RBPMS2,L1
C18orf54,L6
TAC3,L2
VPS39,L3
STAT6,L4
PIP4K2C,L3
MTMR10,L6
GREM1,L6
TSC22D4,L6
SMAD3,L2
PDIA3,L6
SGSM1,L4
TEF,L2
PBX3,L6
PIP5KL1,L4
SLC27A4,L3
CERCAM,L6
DOLPP1,L6
GPRC5B,L6
CRK,L6
HDHD2,L6
IGF2,L1
MYO5B,L3
CA4,L2
KLHL26,L2
RPL13,L1
TUBA1A,L6
ZNF610,L6
GPD1,L6
CYP2S1,L5
LAIR1,L1
CDC42EP5,L1
TRAPPC9,L4
ZNF146,L6
PPP1R14A,L6
EEF2,L1
TMIGD2,L1
NXN,L1
KLK6,L6
RCOR2,L3
ANGPTL4,L6
CD320,L1
MIS12,L6
CD300A,L1
TMEM88,L1
TK1,L6
TMEM68,L6
RP11-25K19.1,L4
ITFG3,L6
ABCA3,L3
KCTD5,L6
DDB1,L4
RAB3IL1,L1
BEST1,L6
RPSA,L1
ENTPD3,L2
ULK4,L2
NAALADL1,L1
MAP4K2,L4
THAP9,L6
HOOK3,L6
RBPJ,L6
LMBRD1,L6
TTC39C,L4
IRF2BP2,L6
BMI1,L6
PXK,L6
MOBP,L6
INSM2,L4
DEGS2,L1
2-Sep,L6
HR,L4
REEP4,L6
SFTPC,L6
ATXN2L,L4
SOGA2,L3
FNTA,L6
COL3A1,L1
GFRA2,L5
TMUB2,L3
FAM84B,L6
LDLRAD4,L6
LRP1B,L6
CA7,L3
FAM178B,L6
SEMA4C,L6
TET2,L6
CXXC4,L4
PPIP5K1,L4
ZNF507,L6
NSG1,L3
C2orf68,L6
VAMP5,L1
ENHO,L1
CEP120,L6
STXBP6,L2
CPLX1,L4
MAP2K1,L5
FAM110B,L2
AFAP1L2,L2
GSG1L,L2
MN1,L2
RAB3B,L6
RGS14,L2
EFNA1,L6
SH3TC2,L6
RP11-220D10.1,L1
HSPB3,L3
KCNAB1,L4
STK32A,L6
IL1RAPL1,L6
ARL13B,L6
PTK2,L6
RNASE6,L1
NPR1,L1
IL8,L1
PLEKHA2,L2
CLIC4,L6
GPR183,L1
ZEB2,L6
GJB1,L6
CLIC3,L1
C15orf40,L6
DRD5,L5
C15orf27,L3
HNRNPF,L6
BTD,L6
CSGALNACT2,L6
WNT10B,L2
PYDC1,L2
TM4SF1,L1
MAP3K2,L6
NLGN2,L2
ALCAM,L6
UBE2E3,L3
NSG2,L2
NIPA1,L6
UBE2E1,L6
USP38,L6
PWWP2A,L6
USP47,L6
PDCD6IP,L4
FAXDC2,L6
FOS,L1
TMED10,L6
CST1,L1
SEMA3E,L6
ZNF804A,L2
GPRC5C,L1
CD14,L1
TMC7,L6
NUDCD2,L6
SCRT1,L4
SGCD,L6
ATF7,L6
SOCS6,L6
MURC,L6
KIF5B,L6
GPR37,L6
FOXN2,L6
MTSS1,L6
RNF139,L6
RPS9,L1
CYTL1,L1
TSEN34,L1
PAQR8,L6
TPT1-AS1,L2
DNAJC24,L6
ZNF160,L6
PRKCDBP,L1
PDGFD,L2
HS6ST2,L3
FPR1,L1
ALK,L2
MTM1,L6
INSR,L6
KCNG3,L2
C1GALT1C1,L6
CLDN20,L2
JUNB,L1
CHD7,L6
KRT19,L1
APLN,L6
PDE7B,L2
ZBTB26,L6
DSEL,L6
WIPF2,L3
HOPX,L2
LRRC8D,L6
RXFP1,L5
PLRG1,L6
ZNF584,L3
ZNF274,L6
PIK3CD,L5
SLC25A33,L1
ENC1,L2
SPSB1,L6
BPTF,L6
GPR34,L1
PLEKHG5,L2
RGS19,L1
ANO5,L4
HDAC3,L2
VAT1L,L5
PAH,L4
CTPS1,L3
KNDC1,L2
PWWP2B,L2
NINJ2,L6
RPS21,L1
C3AR1,L1
RPS7,L1
FRMD5,L6
MAL,L6
RAB33B,L6
EPHX4,L3
KRCC1,L6
CALB2,L2
CEBPB,L2
ALG14,L6
RCAN2,L3
IL16,L1
ABCG4,L3
C2CD2L,L2
ARNT2,L2
RSPH9,L2
GTPBP2,L3
ZNF24,L6
MANEA,L6
CARNS1,L6
CTSW,L1
NIPAL4,L6
FNDC9,L2
EFEMP2,L1
THEMIS,L5
ZNF738,L6
CCL19,L1
FADS6,L3
RAB37,L4
RPL38,L1
CYP7B1,L6
CES4A,L6
SP3,L6
ZNF621,L6
GXYLT2,L6
TADA2B,L3
FAM222B,L3
NOC3L,L6
ESRRA,L3
ADCY5,L6
CKS1B,L6
IQCB1,L5
SNCG,L4
MAP3K11,L6
C1QB,L1
C1QA,L1
INSM1,L2
DAB1,L2
MINOS1,L4
EHBP1L1,L2
THAP2,L6
RNF26,L3
PPP1R14B,L1
SMARCC1,L6
CHD2,L6
CXorf23,L6
SUSD5,L3
WFIKKN2,L1
CNP,L6
JUP,L6
HAP1,L2
CCDC13-AS1,L6
RNF213,L6
PHOSPHO1,L4
SPTBN2,L3
C1QTNF1,L1
LRRC63,L6
LRRC33,L1
GNG5,L1
RGMB,L2
FAM53A,L6
C12orf66,L6
ZBTB4,L4
SLC16A11,L1
RPL4,L1
C12orf76,L6
ZCCHC12,L2
CNTNAP2,L3
GALNTL6,L2
LINGO2,L3
PELI3,L4
MSL2,L6
TRAM1L1,L6
ANGEL2,L6
UGT8,L6
KY,L3
SLCO2A1,L2
TMEM167A,L6
SH3PXD2B,L6
LARP7,L6
PABPC5,L6
C4orf32,L6
RIN1,L2
CD248,L1
DENND6A,L6
AC026271.5,L6
FBXW8,L6
KLC2,L3
C17orf76-AS1,L1
RTP1,L3
DES,L1
ZNF654,L6
MARCKSL1,L6
CTDSP2,L6
CHST1,L2
TP53I11,L2
PHYHD1,L1
CCNE2,L6
GRAMD2,L2
TMEM9B,L6
SCUBE2,L1
SMAD2,L6
LPL,L3
UCP2,L1
PAAF1,L6
MRPL48,L6
ERCC4,L6
MLXIP,L3
PRIMA1,L6
LRRN1,L2
UBE2O,L3
TUBB6,L1
LYSMD3,L6
TPRN,L6
KCNE1L,L6
YES1,L6
LRRTM4,L2
RTTN,L6
RPL37AP8,L1
PRR18,L6
KCMF1,L4
CLEC14A,L1
SYNE3,L6
SLCO3A1,L6
PLA2G16,L6
KIAA2018,L6
KBTBD11,L2
RMDN1,L6
MEX3C,L6
RNF152,L5
MYO1D,L6
FOXC2,L1
CCDC121,L6
BOK,L6
NCKAP5,L6
METRNL,L1
TYMS,L6
PXMP2,L1
C18orf56,L6
FAM109B,L1
DSCAML1,L6
RHOG,L6
TALDO1,L6
PUS1,L2
CHD9,L6
CASKIN2,L6
C8orf31,L3
NAP1L5,L4
RP4-597J3.1,L1
NIM1,L3
RPLP2,L1
CSTF2T,L6
THAP5,L6
CD151,L1
POLR2L,L1
PVRL3,L2
KCNJ10,L6
ZNF518A,L6
ZNF619,L6
ZNF354C,L6
RPS27,L1
DMAP1,L2
TWF1P1,L6
TSSK6,L6
AQP11,L3
ZNF354B,L6
HTR1A,L2
NT5DC1,L6
CTD-2192J16.15,L1
P4HTM,L2
CA8,L4
MAF,L1
OTOS,L1
ZNF713,L6
KCTD12,L1
DHFRL1,L6
C5orf64,L6
THBD,L1
FAM132B,L3
ZHX2,L6
CPNE7,L4
TMEM139,L6
DPY19L3,L6
GAK,L4
FBXO34,L2
SNX18,L6
RCC2,L3
DPM3,L1
TMTC2,L6
ALOXE3,L3
TCAIM,L6
TMEM125,L6
ZNF664,L6
LDLRAD3,L6
TMEM151A,L6
C17orf96,L2
PTPN11,L6
WSCD1,L6
GATA2,L1
PACS2,L6
VWA1,L6
FJX1,L4
MKRN3,L6
ZBTB18,L2
LSMEM2,L6
ALOX15B,L3
GRM8,L4
LACC1,L6
RPRML,L5
FOXS1,L1
SERTAD2,L6
NKPD1,L4
R3HDM2,L4
BBS10,L6
SOCS4,L6
LYNX1,L3
RP1-278E11.3,L1
ZNRF2,L6
CCDC43,L6
C7orf41,L6
PAK2,L6
HARBI1,L6
C11orf71,L6
SERTM1,L2
ZNF571,L6
GLIPR1L2,L6
HIST1H2AC,L6
HIST1H2BC,L6
MB21D2,L3
SSTR2,L5
AC007362.1,L3
EXOC5P1,L6
TMEM64,L6
CHRM4,L3
SHISA2,L6
S1PR5,L6
ZDHHC20,L6
ZFP3,L6
MAP6D1,L6
PDIA3P,L6
GREM2,L4
SSR4,L1
CUEDC1,L6
FTSJD1,L6
FAM83H,L3
GPR62,L6
ZNF572,L6
AEN,L2
F2R,L1
DHTKD1,L6
PENK,L2
ZNF746,L2
TMEM132C,L3
TMEM136,L6
TMEM132E,L2
AATK,L6
ZNF678,L6
RAP2B,L2
RPL24P4,L1
SETD2,L6
TMIE,L2
ZFP41,L4
GPR88,L2
PLAG1,L6
YIPF6,L6
C3orf58,L6
GPR3,L4
SIAH2,L2
COPG1,L3
SLC9A9,L6
SLC35C1,L3
C5orf24,L6
IDH2,L2
WRB,L6
FAM89A,L1
ZNF708,L6
IST1,L6
CREB3L2,L6
UNC5C,L6
TSEN54,L6
HHIPL1,L2
CRIP1P4,L1
KBTBD3,L6
CLN8,L6
NXPH4,L6
NPLOC4,L3
TSHZ2,L4
ORAI1,L1
CEP97,L6
FES,L2
SATB1,L4
NXPH3,L6
CSF1R,L1
C2orf82,L1
HS3ST4,L6
TSKU,L1
RGS6,L2
TMEM198B,L6
CRIP2,L2
GPIHBP1,L6
VMO1,L1
RPL35A,L1
RGS7,L3
C11orf54,L6
SRPR,L3
SPATA13,L6
SOX1,L2
PCP4,L4
LYSMD4,L5
AFMID,L6
BEGAIN,L2
ARHGEF37,L6
FAM43B,L5
CSMD1,L3
CEP57L1,L6
C2CD4C,L2
CHST6,L6
CTNNA3,L6
DAZAP2,L6
15-Sep,L6
EPHA10,L3
BCOR,L6
KIAA2026,L6
SYNDIG1L,L1
FHL3,L2
CCDC159,L6
RPS7P1,L1
AC004967.8,L6
SSTR3,L3
COA5,L6
PCBP3,L4
FBXL7,L6
TANGO2,L4
KLHL25,L2
FAM19A1,L2
NPBWR1,L2
PAPL,L6
KREMEN1,L2
KCTD8,L5
OLFML1,L1
PNMA3,L3
TOB2,L6
SCN5A,L2
TTC32,L6
HTR7P1,L2
KCNH8,L6
ST6GALNAC3,L6
PTP4A2,L6
DENND5A,L6
ADAP2,L1
FAM120C,L6
RP11-67F24.1,L6
RP11-366I13.3,L1
CLDN5,L1
CNTN2,L6
ADRA2C,L2
OLIG1,L6
PCDH9,L6
ALDH1A3,L3
TACSTD2,L6
MAP7D2,L4
CSF1,L6
MAML2,L6
C21orf128,L3
KCND2,L2
THAP7,L2
FOXO4,L6
PROS1,L1
SOCS3,L1
TMEM173,L1
SNN,L2
RPL7P26,L1
AMER1,L4
HIST2H2BE,L6
FAM110C,L2
ATL3,L6
