gene,class
DLG3,BIPO
DLG4,BIPO
DLX1,BIPO
DLX4,BIPO
DMTF1,BIPO
DNAH8,BIPO
DNAJB1,BIPO
DNMT1,BIPO
DNMT3A,BIPO
DNMT3B,BIPO
DNTT,BIPO
DOCK4,BIPO
DOCK9,BIPO
DOK5,BIPO
DPP10,BIPO
DPYS,BIPO
DPYSL2,BIPO
DRD1,BIPO
DRD2,BIPO
DRD3,BIPO
DRD4,BIPO
DRD5,BIPO
DRP2,BIPO
DSCAM,BIPO
DTNBP1,BIPO
DTWD1,BIPO
DUSP2,BIPO
DUSP6,BIPO
EBI3,BIPO
EBNA1BP2,BIPO
EGFR,BIPO
EGR1,BIPO
EGR2,BIPO
EGR3,BIPO
EHHADH,BIPO
EHMT1,BIPO
EIF4EBP1,BIPO
ENDOU,BIPO
ENDOV,BIPO
EPHA3,BIPO
EPHB2,BIPO
EPHX2,BIPO
EPO,BIPO
ERBB2,BIPO
ERBB3,BIPO
ERBB4,BIPO
ERDA1,BIPO
ERVW-1,BIPO
ESR1,BIPO
ESR2,BIPO
ETNPPL,BIPO
ETV5,BIPO
EVC,BIPO
EXOSC6,BIPO
F2R,BIPO
F9,BIPO
FA2H,BIPO
FAAH,BIPO
FABP7,BIPO
FADS1,BIPO
FADS2,BIPO
FAM177A1,BIPO
FAM178B,BIPO
FAS,BIPO
FAS-AS1,BIPO
FASTK,BIPO
FAT1,BIPO
FBLN1,BIPO
FBXL3,BIPO
FBXO32,BIPO
FER1L6,BIPO
FER1L6-AS2,BIPO
FEZ1,BIPO
FGF17,BIPO
FGF20,BIPO
FGF9,BIPO
FGFR1,BIPO
FGFR2,BIPO
FKBP1A,BIPO
FKBP1AP1,BIPO
FKBP1AP2,BIPO
FKBP1AP3,BIPO
FKBP1AP4,BIPO
FKBP5,BIPO
FLAD1,BIPO
FLI1,BIPO
FMR1,BIPO
FNDC3A,BIPO
FOXO3,BIPO
FOXO6,BIPO
FOXP3,BIPO
FSTL5,BIPO
FTO,BIPO
FUT3,BIPO
FXR1,BIPO
FYN,BIPO
FZD4,BIPO
FZD7,BIPO
G6PD,BIPO
GABRA1,BIPO
GABRA3,BIPO
